LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Quantity,Description,Unit Price($)
C45359932,CGA0603C0G150J500JT,HRE,0603,100,15pF ±5% 50V Ceramic Capacitor C0G 0603,0.0067
C105620,CC0603JRNPO9BN220,YAGEO,0603,88,22pF ±5% 50V Ceramic Capacitor NP0 0603,0.0107
C880621,TCC0402COG470J500AT,CCTC,0402,97,47pF ±5% 50V Ceramic Capacitor C0G 0402,0.0031
C161327,GJM1555C1H4R7BB01D,muRata,0402,46,4.7pF 50V Ceramic Capacitor C0G 0402,0.0271
C6119889,CGA0805X5R106K500MT,HRE,0805,46,10uF ±10% 50V Ceramic Capacitor X5R 0805,0.1662
C42371693,CGA0603X7R474K500JT,HRE,0603,96,470nF ±10% 50V Ceramic Capacitor X7R 0603,0.0264
C282519,TCC0603X7R104K500CT,CCTC,0603,48,100nF ±10% 50V Ceramic Capacitor X7R 0603,0.0115
C100040,CC0603KRX7R9BB102,YAGEO,0603,99,1nF ±10% 50V Ceramic Capacitor X7R 0603,0.0152
C108719,0805X225K500NT,FH,0805,11,2.2uF ±10% 50V Ceramic Capacitor X5R 0805,0.0819
C100042,CC0603KRX7R9BB103,YAGEO,0603,84,10nF ±10% 50V Ceramic Capacitor X7R 0603,0.0151
C88893,GJM1555C1H3R9WB01D,muRata,0402,16,3.9pF 50V Ceramic Capacitor C0G 0402,0.0355
C6119856,CGA0603X5R475K250JT,HRE,0603,12,4.7uF ±10% 25V Ceramic Capacitor X5R 0603,0.0257
C6119901,CGA0805X5R226M350MT,HRE,0805,62,22uF ±20% 35V Ceramic Capacitor X5R 0805,0.2517
C147767,10TPE220ML,PANASONIC,"SMD,7.3x4.3mm",11,220uF ±20% 10V Tantalum Capacitors 25mΩ@100kHz,1.0690
C519500,CC0603FRNPO9BN221,YAGEO,0603,46,220pF ±1% 50V Ceramic Capacitor NP0 0603,0.0280
C7432784,HGC1206R5107M100NSPJ,Chinocera,1206,14,100uF ±20% 10V Ceramic Capacitor X5R 1206,0.3330
C5137573,FCC0402N101J500AT,FOJAN,0402,100,100pF ±5% 50V Ceramic Capacitor C0G 0402,0.0100
C90540,0603B105K500NT,FH,0603,18,1uF ±10% 50V Ceramic Capacitor X7R 0603,0.0770
C1552,0402CG1R5C500NT,FH,0402,100,1.5pF 50V Ceramic Capacitor C0G 0402,0.0057
C105621,CC0603JRNPO9BN200,YAGEO,0603,100,20pF ±5% 50V Ceramic Capacitor NP0 0603,0.0084
C7432781,HGC1206R5106K500NSPJ,Chinocera,1206,54,10uF ±10% 50V Ceramic Capacitor X5R 1206,0.1700
C1550,0402CG1R0C500NT,FH,0402,100,1pF 50V Ceramic Capacitor C0G 0402,0.0049
C344195,TCC0603X7R224K500CT,CCTC,0603,100,220nF ±10% 50V Ceramic Capacitor X7R 0603,0.0174
C22383810,RVT1H221M1010,ACMECON,"SMD,D10xL10.2mm",5,220uF ±20% 50V Aluminum Electrolytic Capacitors,0.0973
C5162352,CS1V471M-CRG10,ROQANG,"SMD,D10xL10.5mm",5,470uF ±20% 35V Aluminum Electrolytic Capacitors 2000hrs@105℃,0.1057
C114618,RC0603FR-07330KL,YAGEO,0603,100,100mW 330kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,0.0068
C105588,RC0603FR-07100RL,YAGEO,0603,89,100mW 100Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,0.0070
C2907023,FRC0603F3301TS,FOJAN,0603,100,3.3kΩ ±1% 100mW 0603 Thick Film Resistor,0.0025
C114633,RC0603FR-0768KL,YAGEO,0603,100,68kΩ 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,0.0023
