Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1uF,C90540
"C10, C12",0603,2,12pF,C107034
"C11, C13, C17, C19, C22, C23, C25, C29, C3, C31, C32, C4, C6, C9",0603,14,100nF,C282519
"C14, C2, C20, C21, C27, C5, C8",0603,7,4.7uF,C6119856
"C15, C16",0603,2,8pF,C36508
"C18, C24, C34, C7",0603,4,2.2uF,C914769
C26,0603,1,10nF,C100042
"C28, C30",1206,2,10uF,C7432781
C33,CAP-SMD_L7.3-W4.3,1,220uF,C147767
"D1, D2",SOD-123FL_L2.7-W1.8-LS3.8-RD,2,DKS34,C727076
FB1,0603,1,Ferrite Bead,C494700
LED1,LED0603-RD_GREEN,1,~,C7371905
LED2,LED0603-RD_RED,1,~,C84263
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,MMBT3904,C41371422
Q2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,AO3011A,C49046454
"R1,R13",0603,2,100,C105588
R10,0603,1,220,C22962
"R11, R16, R17, R5",0603,4,10K,C25804
"R12, R7",0603,2,1K,C22548
"R14, R15, R3, R6, R8, R9",0603,6,2.2K,C325591
"R2, R4",0603,2,5.1K,C269716
"SW1, SW2",KEY-SMD_L4.0-W3.0-LS4.9-1,2,~,C49234124
U1,LQFP-100_L14.0-W14.0-P0.50-LS16.0-BL,1,~,C114409
U2,LGA-14_L3.0-W2.5-P0.50-BL,1,ICM-42631,C41432121
U3,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
U4,SO-8_L4.9-W3.9-P1.27-LS5.9-BL,1,TJA1044GT/3Z,C961486
U5,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR-1,1,SP1117V33TC,C41355114
U6,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQ,C97521
U7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,1,MX74610T,C19078229
USB1,USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,TAXM8M4RDBCCT2T,C400090
Y1,Crystal_SMD_SeikoEpson_MC306-4Pin_8.0x3.2mm,1,~,C521690
J1,PinHeader_1x03_P2.54mm_Vertical,1,Debug Connector,
J10,PinHeader_1x02_P2.54mm_Vertical,1,Power Connector,C53207536
J2,PinHeader_1x02_P2.54mm_Vertical,1,Buzzer Connector,C53207536
J3,PinHeader_1x06_P2.54mm_Vertical,1,GPS Connector,C42382518
J4,PinHeader_1x04_P2.54mm_Vertical,1,RC Connector,C53207532
"J5, J9",PinHeader_1x04_P2.54mm_Vertical,2,UART Connector,C53207532
J6,PinHeader_1x04_P2.54mm_Vertical,1,Motor Connector,C53207532
J7,PinHeader_1x04_P2.54mm_Vertical,1,CAN Connector,C53207532
J8,PinHeader_1x04_P2.54mm_Vertical,1,I2C Connector,C53207532
